playerID,tmID,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage
johnste01w,PHO,184.0,179.0,44.5,0.3838825922589663,0.7494002525252526,0.18776088252832437,0.4388114697181456,0.11928172052122538,0.0508232341655864,0.003052200111944045,0.1768654212195429,1.7995061226916065,0.3927318057095577
johnsvi01w,SAS,332.1111111111111,288.22222222222223,68.66666666666667,0.43501385083490685,0.8225505552742925,0.3573559497802161,0.5208904411012477,0.1325958575380233,0.028293506499783867,0.004807676895046668,0.09964481866088108,1.9377459810582185,0.4781405940875161
jonesas01w,CON,347.2857142857143,321.57142857142856,72.0,0.44496906801284913,0.7338717160475916,0.27271151023338397,0.4839482123138679,0.18640877256982827,0.023191092080927917,0.024862215977987757,0.06439056768041906,0.821277915839514,0.4505016289479808
kellycr01w,DET,243.0,138.0,140.0,0.4492753623188406,0.85,0.0,0.6087174348697395,0.19782214156079855,0.032667876588021776,0.009074410163339383,0.02722323049001815,0.36585365853658536,0.4492753623188406
kellycr01w,SAC,243.0,138.0,140.0,0.4492753623188406,0.85,0.0,0.6087174348697395,0.19782214156079855,0.032667876588021776,0.009074410163339383,0.02722323049001815,0.36585365853658536,0.4492753623188406
kraayca01w,NYL,264.75,222.5,52.0,0.4192831760360052,0.797204715219421,0.3737359055673009,0.5439438358827513,0.1723661588781654,0.025088808056032703,0.02629132409100234,0.04116915569772492,0.577074656842209,0.5041893656454466
lacyje01w,ATL,128.66666666666666,115.66666666666667,43.666666666666664,0.4266097625529341,0.6393126668988738,0.17460317460317457,0.48093095168993844,0.18387201665731645,0.028492161180749185,0.011242293060474877,0.031227490898670784,0.41361361361361365,0.4358656609195402
langhcr01w,WAS,164.0,109.0,51.0,0.6238532110091743,0.5490196078431373,0.0,0.6238587948874011,0.2570888468809074,0.02835538752362949,0.011342155009451797,0.02835538752362949,0.4166666666666667,0.6238532110091743
larkier01w,NYL,129.0,94.0,56.0,0.5106382978723404,0.5892857142857143,0.0,0.5436614969656103,0.21791044776119403,0.029850746268656716,0.020895522388059702,0.05373134328358209,0.5142857142857142,0.5106382978723404
lattaiv01w,ATL,240.5,215.0,56.5,0.37616031634328606,0.6152291105121294,0.3963647959183674,0.5070516542755776,0.08048642533936651,0.04153704751131222,0.005045720211161388,0.10931136877828054,1.6331967213114753,0.4794661707047351
lawsoed01w,SAS,42.5,38.25,5.25,0.29027777777777775,0.8333333333333333,0.27896459643380134,0.4342473960882132,0.10981573251310092,0.03304283435862383,0.0033891547049441787,0.06667521075415812,0.7249122807017544,0.36458333333333337
lawsoka01w,SAC,298.6666666666667,257.5,50.0,0.40501340892639986,0.8553996476271227,0.3989026640050503,0.541265456045005,0.0977109824354656,0.02807249881333114,0.006694982937518529,0.07833855492462036,1.3939460394300394,0.5049343559952749
lehnish01w,ATL,126.0,110.0,37.0,0.33404032866457284,0.6337338069173575,0.19823669907109118,0.4373001540916433,0.15450980647664894,0.034594887586151264,0.017875160530466925,0.06521929942426108,0.8649032724709308,0.3661634845572791
lennobe01w,LAS,347.9,313.3,71.4,0.384534056359809,0.8082074059879503,0.32558784517863193,0.4825543396678345,0.15994045415559419,0.04037022170234075,0.006492157912794535,0.08211369688839334,0.7847536790738519,0.4397033952534324
leslili01w,LAS,551.875,437.5,189.125,0.4684187432871548,0.6891354472348996,0.2934961323288529,0.528415897476849,0.285799596992497,0.0431730313624456,0.07517646324771746,0.07505101706518821,0.7503806027431303,0.4796226979811065
littlca01w,SEA,126.33333333333333,107.33333333333333,37.333333333333336,0.45470954469167885,0.5947530864197531,0.33535353535353535,0.5067879104992544,0.1941872280666026,0.04272231450191242,0.02024001204939403,0.044719586417278155,0.5726190476190477,0.4777698374027755
lyttlsa01w,ATL,162.75,125.5,46.0,0.5299491888466287,0.6206932773109244,0.0,0.5551561214401448,0.30985202114503263,0.06604746380002238,0.027947117636473395,0.04159436136717798,0.6833937198067632,0.5299491888466287
